arm,model_name,question_number,question_type,judge_recommended,use_case_category,status,answered,error_message,gold_count,pred_count,count_correct,count_error,gold_company_count,pred_company_count,company_precision,company_recall,company_f1,missing_companies,extra_kb_companies,gold_county_count,pred_county_count,county_precision,county_recall,county_f1,entity_basis,entity_precision,entity_recall,entity_f1,gold_numbers,numeric_recall,field_value_accuracy,has_answer_section,has_evidence_section,has_count_section,has_supporting_row_ids_section,has_notes_section,format_core_ok,supporting_row_ids,supporting_row_id_count,bad_supporting_row_ids,duplicate_supporting_row_id_count,count_vs_supporting_ids_ok,inline_thinking_leak,prompt_eval_count,eval_count,num_ctx_requested,runtime_seconds,map_failed_count,candidate_count,verified_count,response_char_count,source_file,legacy_unknown_company_mentions,legacy_unknown_company_mention_count,evidence_company_mentions,mention_known_kb_company_count,mention_misspelled_kb_company_count,mention_industry_group_fp_count,mention_product_service_fp_count,mention_kb_noncompany_field_count,mention_not_a_company_phrase_count,mention_true_hallucination_count,kb_supported_non_company_fp_count,row_id_company_checked,row_id_company_mismatch_count,row_id_bad_count,source_question
direct_context,base,1,list_multi_filter,False,Supply Chain Mapping & Visibility,ok,True,,18,,,,18,0,0.0,0.0,0.0,"[""F&P Georgia Manufacturing"", ""Fouts Brothers Fire Equipment"", ""Hitachi Astemo"", ""Hitachi Astemo Americas Inc."", ""Hollingsworth & Vose Co."", ""Honda Development & Manufacturing"", ""Hwashin"", ""Hyundai & LG Energy Solution (LGES)"", ""Hyundai Industrial Co."", ""Hyundai MOBIS (Georgia)"", ""Hyundai Motor Group"", ""Hyundai Transys Georgia Powertrain"", ""Hyundai Transys Georgia Seating Systems"", ""IMMI"", ""IMS Gear Georgia Inc."", ""Inalfa Roof Systems Inc."", ""JAC Products Inc."", ""Jefferson Southern Corp.""]",[],0,0,1.0,1.0,1.0,company,0.0,0.0,0.0,"[""1"", ""2""]",1.0,0.3333,False,False,False,False,False,False,[],0,[],0,,False,,195,,10.736,,,,553,results/parametric/raw_json/answers_base.jsonl,[],0,0,0,0,0,0,0,0,0,0,0,0,0,"Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service."
direct_context,base,2,list_or_lookup,False,Supply Chain Mapping & Visibility,ok,True,,6,,,,6,0,0.0,0.0,0.0,"[""F&P Georgia Manufacturing"", ""Hitachi Astemo Americas Inc."", ""Hollingsworth & Vose Co."", ""Honda Development & Manufacturing"", ""Hyundai Motor Group"", ""IMMI""]",[],0,0,1.0,1.0,1.0,company,0.0,0.0,0.0,"[""1"", ""2""]",1.0,1.0,False,False,False,False,False,False,[],0,[],0,,False,,256,,13.179,,,,831,results/parametric/raw_json/answers_base.jsonl,"[""Weitzman LLC""]",1,0,0,0,0,0,0,0,1,0,0,0,0,"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?"
direct_context,base,3,list_multi_filter,False,Supply Chain Mapping & Visibility,ok,True,,5,,,,5,0,0.0,0.0,0.0,"[""Freudenberg-NOK"", ""Hyundai Transys Georgia Powertrain"", ""Novelis Inc."", ""Peerless-Winsmith Inc."", ""ZF Gainesville LLC""]",[],0,0,1.0,1.0,1.0,company,0.0,0.0,0.0,[],,0.5556,False,False,False,False,False,False,[],0,[],0,,False,,256,,13.212,,,,1298,results/parametric/raw_json/answers_base.jsonl,[],0,0,0,0,0,0,0,0,0,0,0,0,0,Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.
direct_context,base,4,list_or_lookup,False,Supply Chain Mapping & Visibility,ok,True,,4,10,False,6,4,0,0.0,0.0,0.0,"[""GSC Steel Stamping LLC"", ""Morgan Corp."", ""Yazaki North America"", ""ZF Gainesville LLC""]",[],0,0,1.0,1.0,1.0,company,0.0,0.0,0.0,"[""320"", ""350"", ""17500"", ""230000""]",0.0,0.0,False,False,False,False,False,False,[],0,[],0,,False,,256,,13.192,,,,1106,results/parametric/raw_json/answers_base.jsonl,[],0,0,0,0,0,0,0,0,0,0,0,0,0,"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size."
direct_context,base,5,list_multi_filter,False,Supply Chain Mapping & Visibility,ok,True,,,,,,11,0,0.0,0.0,0.0,"[""Kia Georgia Inc."", ""Minebea AccessSolutions USA Inc."", ""Superior Essex Inc."", ""Suzuki Manufacturing of America Corp."", ""TCI Powder Coatings"", ""TDK Components USA Inc."", ""TE Connectivity"", ""Teklas USA"", ""Textron Specialized Vehicles"", ""Thermal Ceramics Inc."", ""Thomson Plastics Inc.""]",[],0,0,1.0,1.0,1.0,company,0.0,0.0,0.0,"[""11""]",0.0,0.0606,False,False,False,False,False,False,[],0,[],0,,False,,117,,6.042,,,,623,results/parametric/raw_json/answers_base.jsonl,[],0,0,0,0,0,0,0,0,0,0,0,0,0,"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?"
direct_context,base,6,list_or_lookup,False,Supply Chain Mapping & Visibility,ok,True,,3,4,False,1,1,1,1.0,1.0,1.0,[],[],1,0,0.0,0.0,0.0,company,1.0,1.0,1.0,[],,0.0,False,False,False,False,False,False,[],0,[],0,,False,,256,,13.202,,,,1117,results/parametric/raw_json/answers_base.jsonl,[],0,0,2,0,0,0,1,0,0,1,0,0,0,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?"
direct_context,base,7,aggregation_ranking,False,Supply Chain Mapping & Visibility,ok,True,,,,,,1,0,0.0,0.0,0.0,"[""WIKA USA""]",[],1,1,1.0,1.0,1.0,company,0.0,0.0,0.0,"[""250000""]",0.0,0.3333,False,False,False,False,False,False,[],0,[],0,,False,,256,,13.161,,,,1377,results/parametric/raw_json/answers_base.jsonl,[],0,0,0,0,0,0,0,0,0,0,0,0,0,"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?"
direct_context,base,8,aggregation_ranking,False,Supply Chain Mapping & Visibility,ok,True,,,,,,0,0,1.0,1.0,1.0,[],[],1,0,0.0,0.0,0.0,county,0.0,0.0,0.0,"[""1"", ""2435""]",0.5,,False,False,False,False,False,False,[],0,[],0,,True,,256,,13.288,,,,1223,results/parametric/raw_json/answers_base.jsonl,[],0,0,0,0,0,0,0,0,0,0,0,0,0,Which county have the highest total Employment among Tier 1 suppliers only?
direct_context,base,9,aggregation_ranking,False,Supply Chain Mapping & Visibility,ok,True,,,,,,0,0,1.0,1.0,1.0,[],[],1,0,0.0,0.0,0.0,county,0.0,0.0,0.0,"[""314452""]",0.0,,False,False,False,False,False,False,[],0,[],0,,True,,256,,13.288,,,,907,results/parametric/raw_json/answers_base.jsonl,[],0,0,0,0,0,0,0,0,0,0,0,0,0,"Which county has the highest total employment across all companies, and what is the combined employment in that county?"
direct_context,base,10,list_multi_filter,False,Supply Chain Mapping & Visibility,ok,True,,10,,,,10,0,0.0,0.0,0.0,"[""Kia Georgia Inc."", ""Superior Essex Inc."", ""Suzuki Manufacturing of America Corp."", ""TCI Powder Coatings"", ""TDK Components USA Inc."", ""TE Connectivity"", ""Teklas USA"", ""Textron Specialized Vehicles"", ""Thermal Ceramics Inc."", ""Thomson Plastics Inc.""]",[],0,0,1.0,1.0,1.0,company,0.0,0.0,0.0,[],,0.0,False,False,False,False,False,False,[],0,[],0,,False,,256,,13.156,,,,1054,results/parametric/raw_json/answers_base.jsonl,[],0,0,0,0,0,0,0,0,0,0,0,0,0,Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.
